what expression would i use to say i love you if i were an italian,translate
wake me in an hour,timer
please set a timer for cookies,timer
i want a timer set,timer
remind me in (x) hours,timer
set timer for (x) minutes,timer
i gotta have a 10 minute timer,timer
please set a timer for me,timer
i need a 10 minute timer,timer
i wish to have a 10 minute timer,timer
i really need to set a timer,timer
set a new timer for ten seconds,timer
set a timer for me,timer
i want a 10 minute timer,timer
i gotta set a timer,timer
set a 10 minute timer,timer
set a brand new timer for eight seconds,timer
set a ten second timer,timer
i must set a timer,timer
set a timer for twelve seconds,timer
set a timer for fifteen seconds,timer
tell me when two minutes are up,timer
start a timer for two minutes,timer
set a timer for two minutes,timer
start counting down from two minutes,timer
can you set a timer for two minutes,timer
"""please set 5 minute timer",timer
can u please set the timer for 5 minutes,timer
set timer of 5 minutes,timer
"""can u set a timer for 5 minutes",timer
set a one hour timer,timer
please set a timer for 20 minutes,timer
set a five minute timer please,timer
set a timer for two hours,timer
can you set a two hour timer,timer
set the timer for me please,timer
you need to set the timer for me,timer
i need you to set timer for me,timer
please set the timer for me,timer
i would like a timer set,timer
can you set a timer,timer
i need you to set a time,timer
i need a timer set for 15 minutes,timer
start a countdown for 20 minutes,timer
set a timer for 15 minutes,timer
i'll need you to set a timer for 10 minutes,timer
let's get a timer set for 5 minutes,timer
set a timer for 35 minutes,timer
please start counting down from 10 minutes,timer
let's get a timer going for 10 minutes,timer
i need a timer for 20 seconds,timer
timer 5 minutes,timer
alert me in 20 minutes,timer
give me a 10 minute countdown,timer
let me know in 15 minutes please,timer
"i'm cooking an egg, timer for 3 mins",timer
10 minute timer,timer
start a timer for 10 minutes,timer
timer 10 minutes,timer
count down 10 minutes,timer
make up a timer for me,timer
create a timer for me,timer
can you set a timer for me,timer
i need to set a timer,timer
set up a timer,timer
could you start a timer for me,timer
lets set a timer for me,timer
please run a timer for me,timer
set a one minute timer,timer
set a five minute timer,timer
set a seven minute timer,timer
start a timer for me,timer
set a four minute timer,timer
set a six minute timer,timer
how do i set a timer,timer
i want a timer for 5 minutes,timer
timer for 5 minutes,timer
set a timer to go off in 5 minutes,timer
set timer for 5 minutes,timer
i want to set a timer,timer
make a timer for 5 minutes,timer
please set a timer for,timer
remind me that time is up in sixty minutes,timer
set an alarm for nine minutes from now,timer
tell me when ninety minutes have passed,timer
please set timer for 4 pm,timer
want 5 minute timer,timer
set 30 minute timer,timer
get a 3 minute timer,timer
"please, can you set the timer for me",timer
can you please the timer,timer
will you set the timer,timer
what is the meaning of realism,definition
what is regard mean,definition
what is the meaning of interorganizational,definition
what is it is all relative mean,definition
what is intercontinental mean,definition
what is the meaning of supercede,definition
what is let it be mean,definition
what is the definition of incomprehensible,definition
what is the meaning of stupendous,definition
what is the definition of intelligent,definition
what is good riddance mean,definition
what is break a leg mean,definition
what is the meaning of hyperactive,definition
what is the definition of valor,definition
what is stupedous meant,definition
find the meaning of qat,definition
what the heck is qat,definition
define qat for me,definition
read me a definition for qat,definition
look up qat please,definition
what might the meaning of altruism be,definition
exactly what does altruism mean,definition
what does altruism mean,definition
what is the definition of altruism,definition
what is the meaning of altruism,definition
affiliate's definition is what,definition
the definition of affiliate is,definition
what's the meaning of affiliate,definition
what's affiliate definition,definition
definition of affiliate is what,definition
whats the definition of poor,definition
"describe the meaning of ""dog",definition
"what does ""money"" mean",definition
tell me what the word die means,definition
what is the definition of succumb,definition
what is the meaning of telepathy,definition
what does tertiary mean,definition
tell me the definition of the word redemption,definition
what is the meaning of the word lux,definition
what is an ataraxy,definition
what does the word ataraxy mean,definition
what does ataraxy mean,definition
use the word ataraxy in a sentence,definition
define ataraxy,definition
what does discretionary mean,definition
define discretionary,definition
i want to know the definition of discretionary,definition
can you give the definition of deiscretionary,definition
let's hear the definition of iridium,definition
what's the definition of analogy,definition
can you tell me the definition of sucrose,definition
definition of anachronism,definition
what's the definition of patriarchy,definition
can you tell me the definition of yttrbium,definition
please share the definition of episcopalian,definition
what does saffron mean,definition
define sonogram,definition
define thoroughbred,definition
what's the meaning of a fortnight,definition
what is an anachronism,definition
what's the meaning of emulsify,definition
tell me what cyst means,definition
what is the definition of flange,definition
tell me what flange means,definition
define flange,definition
flange means what,definition
what is the meaning of flange,definition
"what does ""rescind"" mean",definition
"what is the meaning of word ""rescind",definition
"is ""rescind"" a word of positive connotation",definition
"where i can use word ""rescind",definition
read me the definition of ajar,definition
what does ajar mean,definition
can you show me the dictionary definition of ajar,definition
tell me what monstrosity means,definition
give me the definition of ajar,definition
what is the definition of didactic,definition
i need to know what adumbrate means can you look it up for me now,definition
i want to know what the word discomfit means,definition
find what the word diaphanous mean please,definition
do you know what calumny means  please look it up for me,definition
find out what the word abrogate means for me,definition
tell me what edict means,definition
what does the word abjure mean,definition
can you tell me what dirge means,definition
tell me what the word arboreal means,definition
whats the definition of transmute,definition
what is the meaning of the word slander,definition
what is meant by defense,definition
tell me what the word bounty means,definition
what does deceive mean,definition
define zesty,definition
look up zesty in dictionary,definition
definition of zesty,definition
what is the definition of zesty,definition
what does zesty mean,definition
tell me what alternative means,definition
what does alternative mean,definition
give me the meaning of alternative,definition
tell me the meaning of alternative,definition
does life have meaning,meaning_of_life
is being alive the meaning of life,meaning_of_life
what is the real meaning of life,meaning_of_life
what is the answer to the meaning of life,meaning_of_life
is there really an answer to the meaning of life,meaning_of_life
does life have a meaning,meaning_of_life
who can tell me if there's any meaning to life,meaning_of_life
what makes life have any meaning,meaning_of_life
why do you think we're here,meaning_of_life
what's the answer to existence,meaning_of_life
what's the point of sentience,meaning_of_life
what's the purpose of existence,meaning_of_life
what's the purpose of life,meaning_of_life
what's the point of this dumpster fire known as life,meaning_of_life
what is life's meaning,meaning_of_life
is there a greater purpose in life,meaning_of_life
what is our purpose in life,meaning_of_life
how is life in existence,meaning_of_life
what's lifes meaning,meaning_of_life
what exactly is the meaning of life,meaning_of_life
whats lifes meaning exactly,meaning_of_life
what's the meaning of this life,meaning_of_life
what is the meaning of life here,meaning_of_life
does my life have meaning,meaning_of_life
i wish to know the meaning of life,meaning_of_life
i wanna know the meaning of life,meaning_of_life
i wanna know the point of life,meaning_of_life
i need to know the point of life,meaning_of_life
i must know the point of life,meaning_of_life
tell the meaning of life,meaning_of_life
i gotta know the meaning of life,meaning_of_life
what is your take on the meaning of life,meaning_of_life
tell me what is the purpose of life,meaning_of_life
what meaning does life hold,meaning_of_life
what do you think is the meaning of like,meaning_of_life
how do i find the meaning of life,meaning_of_life
what is the purpose of exsistance,meaning_of_life
what is your version on the meaning of life,meaning_of_life
what is your explanation for the meaning of life,meaning_of_life
what is the purpose of creation,meaning_of_life
can you figure out the meaning of life,meaning_of_life
whats your take on the meaning of life,meaning_of_life
can you explain the meaning of life to me,meaning_of_life
what is life all about,meaning_of_life
can you explain the meaning of life,meaning_of_life
"what's the point of life, anyways",meaning_of_life
the meaning of life please,meaning_of_life
the meaning of life,meaning_of_life
i'd like to me told the meaning of life,meaning_of_life
do you know the meaning of life,meaning_of_life
say what the meaning of life is,meaning_of_life
can you tell me life's meaning,meaning_of_life
what's the meaning of my life,meaning_of_life
what is the underlying purpose to life,meaning_of_life
what do you think about the meaning of life,meaning_of_life
what is life¡¯s meaning,meaning_of_life
help me figure out the meaning of life,meaning_of_life
"would you tell me the meaning of life, please",meaning_of_life
"could you tell me the meaning of life, please",meaning_of_life
can you tell me the meaning of life,meaning_of_life
could you tell me the meaning of life,meaning_of_life
"can you tell me the meaning of life, please",meaning_of_life
what does life mean to you,meaning_of_life
is there really a meaning of life,meaning_of_life
is there any meaning to being alive,meaning_of_life
what is the meaning of my life,meaning_of_life
what is the point of life,meaning_of_life
what's the point of everything,meaning_of_life
is there a meaning to life,meaning_of_life
why are we here in life,meaning_of_life
can you share the meaning of life,meaning_of_life
research the meaning of life,meaning_of_life
can you tell me what you think the meaning of life is,meaning_of_life
what is our purpose here on earth,meaning_of_life
is love the meaning of life,meaning_of_life
is there a reason people exist,meaning_of_life
what is the secret or meaning to life,meaning_of_life
what does life mean on a deeper level,meaning_of_life
how would you put what life is all about,meaning_of_life
how would you describe what life means,meaning_of_life
what do people say life means or the meaning is,meaning_of_life
life has what meaning or what's the secret to it,meaning_of_life
where is there meaning in life,meaning_of_life
what is the meaning of this life,meaning_of_life
do you know what the meaning of life is,meaning_of_life
what's life's meaning,meaning_of_life
"does life have a meaning, according to you",meaning_of_life
does this life have a meaning,meaning_of_life
can you share with me your interpretation of the meaning of life,meaning_of_life
what do you think is the meaning of life,meaning_of_life
is there a meaning in life,meaning_of_life
i wonder if you can explain the meaning of life,meaning_of_life
"i always wonder about the meaning of life, can you tell me",meaning_of_life
what's my meaning in life,meaning_of_life
define the meaning of life,meaning_of_life
meaning of life is,meaning_of_life
what is your perception of the meaning of life,meaning_of_life
whats the meaning of life,meaning_of_life
what do you think the meaning of life is,meaning_of_life
what is behind life's meaning,meaning_of_life
lets hear an interesting fact about funko pops,fun_fact
know any interesting facts,fun_fact
what is one fun fact,fun_fact
tell me a fact,fun_fact
lets hear a fact,fun_fact
any unique trivia about beats headphones,fun_fact
tell me a fact i may not know,fun_fact
what is one thing i might not know about nike shoes,fun_fact
tell me something interesting about sperm whales,fun_fact
i want to know a fun fact about pluto,fun_fact
what's an interesting fact about flamingos,fun_fact
tell me a random fact,fun_fact
have any cool facts on reptiles,fun_fact
i want to learn an interesting fact about cats,fun_fact
read me some fun facts,fun_fact
tell me a few facts about cats,fun_fact
help me learn something intriguing about turtles,fun_fact
read me some interesting information about cats,fun_fact
what's an interesting tidbit about rivers,fun_fact
can you tell me something i don't know about banks,fun_fact
can you tell me a fun fact regarding cars,fun_fact
do you know any fun facts about shampoo,fun_fact
what's a fun fact about eggs,fun_fact
what's a neat fact about twinkies,fun_fact
i'd like to hear a fun fact about adult entertainment,fun_fact
tell me something neat about slinkies,fun_fact
tell me something fun about gravity,fun_fact
say trivia about lebron james,fun_fact
tell me a fun fact about mt everest,fun_fact
give me some trivia about lebron james,fun_fact
what are some trivia questions about lebron james,fun_fact
repeat that fun fact about mt everest,fun_fact
what is a fun fact about mt everest,fun_fact
say a fun fact about mt everest,fun_fact
do you know any fun facts about mt everest,fun_fact
explain some trivia about lebron james,fun_fact
communicate trivia about lebron james,fun_fact
what are fun facts about lighthouses,fun_fact
can you tell me fun facts about lighthouses,fun_fact
tell me interesting facts about lighthouses,fun_fact
tell me a fun trivia bit about artificial intelligence,fun_fact
do you know any trivia about the ocean,fun_fact
tell me something neat about the ocean floor,fun_fact
i'd like to hear a fun fact about the nfl,fun_fact
i want to hear an interesting fact about dinosaurs,fun_fact
please tell me an interesting tidbit about the roman empire,fun_fact
can you share some trivia with me about us history,fun_fact
do you know any fun facts about the ocean,fun_fact
i want to learn a neat fact about black holes,fun_fact
can you give me a good piece of trivia about the rainforest,fun_fact
tell me something interesting about outer space,fun_fact
share with me a fun fact about outer space,fun_fact
tell me a neat fact about the ocean,fun_fact
tell me some interesting trivia about dinosaurs,fun_fact
i want to hear a fun fact about american presidents,fun_fact
give me an interesting fact about antarctica,fun_fact
can you share something interesting about world war one,fun_fact
i want to know some trivia about our solar system,fun_fact
tell me a fun fact about the olympics,fun_fact
tell me something cool about elephants,fun_fact
name some awesome things about dogs,fun_fact
list some neat stuff about rats,fun_fact
what's a good trivia fact about china,fun_fact
give me a fun fact about otters,fun_fact
do you know any fun facts about australian football,fun_fact
tell me some trivia about birds,fun_fact
do you know any trivia about ostriches,fun_fact
what's a good fun fact about great britain,fun_fact
give me trivia about bats,fun_fact
fun facts about tigers,fun_fact
tell me something interesting about los angeles,fun_fact
what's a fun fact about mythology,fun_fact
what's a fun fact relating to elephants,fun_fact
what's a cool and interesting thing about dogs,fun_fact
i'd like to hear some trivia about florida,fun_fact
tell me a fun fact about butterflies,fun_fact
please give me a really impressive piece of trivia about bubble gum,fun_fact
what is the most fun fact you know about the film industry,fun_fact
please tell me trivia about hamburgers,fun_fact
what is the most unique piece of trivia relating to cameras,fun_fact
what's a fun fact about elephants,fun_fact
tell me some amazing trivia about radios,fun_fact
tell me a fun fact about computer,fun_fact
please tell me a really fun fact about facebook,fun_fact
can you tell me the most interesting fact about resistors,fun_fact
what is an amazing trivia fact relating to 3d printing,fun_fact
tell me a fun fact about tigers,fun_fact
can you tell me a fun fact about elephants,fun_fact
what is a fun fact about dogs,fun_fact
what would be a fun fact about cats,fun_fact
tell me all about the trivia with friends,fun_fact
i need to know trivia on star wars,fun_fact
lets fin out some fun facts about humans,fun_fact
i want to know all about trivia for the office,fun_fact
explain to me the trivia on twilight,fun_fact
lets go threw some trivia on sports,fun_fact
"trivia about something,tell me some",fun_fact
tell me about something some trivia,fun_fact
tell me some something trivia,fun_fact
"about something,tell me some trivia",fun_fact
"what time is it in punta gorda, florida",time
"what time is it in glenwood springs, co",time
"what time is it in fredericksburg, tx",time
"what time is it in las vegas, nv",time
"what time is it in houston, tx",time
i need to know the current time in the central timezone,time
would you tell me the current time in the eastern timezone,time
let me know the current time in the central timezone,time
tell me what time it is in the central timezone,time
i am needing to know the current time in the eastern timezone,time
what is the time right now in the hst timezone,time
can you tell me the current time,time
what is the current time in cst,time
i need to know what time it is in florida,time
what is the time right now,time
"in the mst time zone, what time is it right now",time
tell me what time it is right now,time
can you tell me the current time in the pacific timezone,time
look up the time in california,time
what is the current est time,time
can you tell me what time it is please,time
what time is it getting to be,time
what time do you have on your watch,time
what time would it be in rome right now,time
what's the time in london,time
what's the time set to in florida right now,time
what time is it currently in istanbul,time
what time is it right now in paris,time
what's the time right now,time
"current time, please",time
would you mind telling me the time,time
can you give me the time,time
please let me know what time it is,time
what is the exact time right now in the hawaii time zone,time
what is the time,time
what is the time right now in the peruvian time zone,time
what is the exact time,time
what time is it exactly in the new zealand time zone,time
what is the exact time in the ist time zone,time
what is the time in the utc timezone,time
what time is it exactly,time
what is the time now,time
what time is it in russia,time
what time is it,time
"what is the time in sydney, australia",time
what time is it in honolulu,time
what's the current time in greenwhich,time
what's the current time in est,time
what time is it on the pacific coast right now,time
"given my time, what time is it in mst",time
have you the time,time
when is it right now,time
what hour and minute is it,time
what time is it right now in cst,time
what time is it in the eastern standard timezone,time
what time is it in the pacific standard timezone,time
what time is it in the alaska standard timezone,time
what time is it in the central standard timezone,time
what time is it in the mountain standard timezone,time
now what is the time,time
at the moment what is the time,time
i want to know the time,time
what time is it now,time
do you know the current time in southern california,time
what is the current time in china,time
what is the current time in mexico city,time
what is the current time in new york,time
what is the current time in istanbul,time
what time is it in buenos aires,time
what time is it in north korea,time
what does it say on the clock,time
"in tokyo, what's the time",time
"in tokyo, what time is it",time
what's the time in tokyo,time
time in tokyo,time
what time is it in tokyo,time
the time please,time
i want to know what time it is,time
can you tell me the time,time
i would like to know the time,time
i need to know the time,time
the current time,time
"in the eastern timezone, what time is it now",time
"in the central timezone, what time is it",time
what's the current time now cst,time
"in pacific time, what's the current time",time
what time is it now pacific time,time
"what is the current time, please",time
"what's the current time, please",time
"what is the time, please",time
how is the time,time
please tell me the time,time
what time is it in london,time
what time is it in new york,time
what time is it in paris,time
what time is it in daniel boone national forest timezone,time
what is the time in atlantic timezone,time
what's the time in anchorage timezone,time
"in bst timezone, what time is it",time
do you have the time,time
please flip a coin and tell me what side it lands on,flip_coin
will you flip a coin so i can make a choice,flip_coin
flip a two sided coin and tell me what it lands on,flip_coin
i need you to flip a coin so i can decide,flip_coin
begin the coin flip now,flip_coin
i want you to help me make a decision by flipping a coin,flip_coin
"please flip a coin, and i call heads",flip_coin
"flip a coin and let me know if it lands on heads or tails, please",flip_coin
i want you to flip a fair sided coin,flip_coin
are you able to flip a two sided coin,flip_coin
i need you to flip a coin so i can make a choice,flip_coin
"can you please flip a coin, i call tails",flip_coin
"flip a coin, i call tails",flip_coin
heads or tails i choose tails,flip_coin
please tell me if a coin lands on tails,flip_coin
please tell me if a coin flip lands on heads or tails,flip_coin
flip a coin heads or tails,flip_coin
please flip a coin i select tails,flip_coin
will you flip a coin,flip_coin
can you get a coin and flip it,flip_coin
would you flip a coin,flip_coin
will you get a coin and flip it,flip_coin
"flip a coin for me, with you calling heads",flip_coin
i'd like you to throw a virtual coin for me,flip_coin
can i get a random heads or tails,flip_coin
can you do a coin flip,flip_coin
i want a coin flip and i'll take tails,flip_coin
i call tails for a coin flip you need to do right now,flip_coin
do a virtual coin flip and tell me if i win as tails,flip_coin
randomly pick between heads or tails and tell me if tails wins,flip_coin
toss a coin and tell me what it lands on,flip_coin
choose heads or tails and tell me what you came up with,flip_coin
flip a fair coin i win if it's tails,flip_coin
flip a coin for me i call tails,flip_coin
flip me a coin i'm calling tails,flip_coin
take a coin and flip it and i call tails,flip_coin
"hey, flip me a coin i call tails",flip_coin
flip a coin one time,flip_coin
flip that dime,flip_coin
i need to do a fair coin flip,flip_coin
flip that coin once; it must be tails,flip_coin
flip a quarter,flip_coin
do one coin flip; it will be tails,flip_coin
flip a coin; i say tails,flip_coin
how about a coin flip,flip_coin
let's decide with a coin flip,flip_coin
can you flip a coin once,flip_coin
"if you flip a coin, i call tails",flip_coin
let's settle it with a coin flip,flip_coin
please flip a coin i hope its tails,flip_coin
i need you to flip a coin once,flip_coin
flip that coin please,flip_coin
flip the coin,flip_coin
"flip that coin please, i choose heads",flip_coin
flip that coin now,flip_coin
"i choose heads, now flip that coin",flip_coin
"go ahead and flip that coin, i am choosing heads here",flip_coin
flip it please,flip_coin
"i am choosing heads, now please flip that coin",flip_coin
go ahead and flip a coin,flip_coin
"go ahead and flip that coin, i choose heads",flip_coin
can you flip a coin and tell me the result,flip_coin
i will determine it with a coin flip,flip_coin
i want you to flip a coin,flip_coin
flip a coin and tell me if its heads or tails,flip_coin
flip a coin if you will,flip_coin
can you do a coin flip for me,flip_coin
i need to have a coin flipped,flip_coin
i would like a coin flip,flip_coin
i ned you to flip a coin,flip_coin
i want a coin flipped,flip_coin
flip a coin for me,flip_coin
i want a coin flip,flip_coin
i require a coin flip,flip_coin
lets go with heads or tails,flip_coin
lets flip for it,flip_coin
toss a coin i will take heads,flip_coin
"lets do a coin toss, i call tails",flip_coin
"filp a coin, i call heads",flip_coin
spin a coin,flip_coin
lets do a coin toss,flip_coin
toss a coin i will take tails,flip_coin
do a coin flip,flip_coin
do heads or tails,flip_coin
coin flip,flip_coin
heads or tails please,flip_coin
"ai, heads or tails",flip_coin
"ai, coin flip",flip_coin
"ai, please flip a coin",flip_coin
"ai, give me the results of a coin flip",flip_coin
flip a coin for me ai,flip_coin
"flip a coin, you win with heads",flip_coin
"can you flip a coin, i will take tails",flip_coin
"go ahead and flip a coin, i am calling tails",flip_coin
"please flip a coin for me, tails i win",flip_coin
"flip a coin, i have tails",flip_coin
heads or tails,flip_coin
perform a coin flip,flip_coin
do a coin toss,flip_coin
help me flip a coin,flip_coin
where is your place of origin,where_are_you_from
what is your place of origin,where_are_you_from
what is your country of origin,where_are_you_from
where is your country of origin,where_are_you_from
what is your nationality,where_are_you_from
tell me where you're made,where_are_you_from
tell me how you're made,where_are_you_from
what town were you born in,where_are_you_from
what country were you born in,where_are_you_from
where's your birthplace,where_are_you_from
you were born where,where_are_you_from
your birthplace is where,where_are_you_from
where are your origins located,where_are_you_from
where did you originate from,where_are_you_from
where is your home located,where_are_you_from
where do you trace your roots,where_are_you_from
where do you hail from,where_are_you_from
i'd like to know where you're from,where_are_you_from
where are your origins found,where_are_you_from
can you tell me where you are from,where_are_you_from
where is the location of your creation,where_are_you_from
can you tell me where you were created,where_are_you_from
could you tell me where did you originate,where_are_you_from
would you care to let me know where you were made,where_are_you_from
where is the location that you were made,where_are_you_from
in which area were you made,where_are_you_from
what country were you made,where_are_you_from
where was it you were made,where_are_you_from
where did they make you,where_are_you_from
where were you created,where_are_you_from
what place were you created in,where_are_you_from
in which place were you made,where_are_you_from
what's your country of origin,where_are_you_from
what was your place of creation,where_are_you_from
what location did you originate at,where_are_you_from
what's your place of manufacture,where_are_you_from
from whence do you hail,where_are_you_from
where do you come from,where_are_you_from
what is your point of origin,where_are_you_from
what's your nationality,where_are_you_from
where were you manufactured,where_are_you_from
where were your born,where_are_you_from
what country do you consider yourself a citizen of,where_are_you_from
where did you last live,where_are_you_from
what's your birthplace,where_are_you_from
where did you used to live,where_are_you_from
what area did you grow up in,where_are_you_from
what area were you born in,where_are_you_from
what state were you born in,where_are_you_from
were you born here,where_are_you_from
are you from the uk,where_are_you_from
are you from the us,where_are_you_from
are you from europe,where_are_you_from
where you from the usa,where_are_you_from
where is your family from,where_are_you_from
where are you originally from,where_are_you_from
where was your home before here,where_are_you_from
where did you live previously,where_are_you_from
where did you live before here,where_are_you_from
where did you live prior to living here,where_are_you_from
what is the area that you came from,where_are_you_from
what location did you live at before,where_are_you_from
where is your original location,where_are_you_from
where were you before moving here,where_are_you_from
do you know where you were born,where_are_you_from
can you tell me where you were born,where_are_you_from
"where did you come from, originally",where_are_you_from
what was the location of your birth,where_are_you_from
what is the name of your birthplace,where_are_you_from
what is your native home,where_are_you_from
can you tell me your place of origin,where_are_you_from
where is your home,where_are_you_from
whereabouts are you from,where_are_you_from
did you grow up here,where_are_you_from
where were you given birth,where_are_you_from
where are you from,where_are_you_from
where did your mom have you,where_are_you_from
what city were you born in,where_are_you_from
what's your city of origin,where_are_you_from
where are your roots,where_are_you_from
"when you were a child, where did you live",where_are_you_from
"if you were to call a place your beginning, your home start, where would that be",where_are_you_from
so where did you live when you were a baby,where_are_you_from
what place do you call home,where_are_you_from
"up until now, what place was your home base",where_are_you_from
what location were you born in,where_are_you_from
your birth occurred where,where_are_you_from
where is your birth place,where_are_you_from
you came from where,where_are_you_from
where were you made,where_are_you_from
where would you say you were born,where_are_you_from
tell me where you come from,where_are_you_from
tell me where you were born,where_are_you_from
where were you born,where_are_you_from
what's your hometown,where_are_you_from
where's home for you,where_are_you_from
in what state were you born,where_are_you_from
were you born in a hospital,where_are_you_from
where did your parents have you,where_are_you_from
where did your mom give birth,where_are_you_from
i don't know the answer,maybe
i'm unsure,maybe
shit if i know,maybe
no idea,maybe
hell if i know,maybe
either or should work,maybe
i dont know,maybe
both would work,maybe
it could be one or the other,maybe
i dont have an answer for that,maybe
not a clue,maybe
who knows,maybe
it could be either,maybe
"sorry, i do not know",maybe
i'm unsure of the proper answer,maybe
i do not know that,maybe
"maybe one, maybe the other",maybe
"maybe, maybe not",maybe
it might be either one,maybe
perhaps either of them,maybe
i don't know how to answer to that,maybe
maybe either,maybe
i dunno,maybe
"maybe yes, maybe no",maybe
"might be true, might be false",maybe
possibly,maybe
it depends,maybe
i'm not sure what the answer is,maybe
i will know later,maybe
maybe,maybe
"one or the other, or both",maybe
no clue,maybe
i am not to sure about that,maybe
either one would work,maybe
i really don't know,maybe
i am not confident on that,maybe
that i don't know,maybe
both maybe,maybe
i think it could be both,maybe
i don't know for sure,maybe
cant say,maybe
im not certain,maybe
im not sure,maybe
really dont know,maybe
i'm unsure of the answer,maybe
it could be possible,maybe
i can't answer yes or no right now,maybe
i can't answer that,maybe
i don't know the answer to that,maybe
i'm not sure,maybe
i can't decide,maybe
i can't tell,maybe
i'll have to think about it,maybe
not sure if that's a yes or a no,maybe
not quite sure how to respond,maybe
i'm torn on how to answer,maybe
"not sure, maybe",maybe
that could maybe be it,maybe
i have no earthly idea at all,maybe
it may be either one,maybe
i don't have that information,maybe
i can't make up my mind,maybe
it's either of them,maybe
i don't have the answer,maybe
sorry no idea,maybe
it could be that one or the other one,maybe
i'm not sure which one because it could be either of them,maybe
i'm drawing a blank,maybe
i have no knowledge about it,maybe
"no idea, sorry",maybe
i'm not sure which it is,maybe
i'm really not sure,maybe
i'm uncertain,maybe
i'm unaware of that,maybe
i have no knowledge of that,maybe
i am thinking it is either,maybe
"hmmm, either could be a choice",maybe
i'm sure it could be either,maybe
"well, i guess maybe",maybe
maybe is my answer,maybe
i know it could be either one,maybe
maybe is what i am going to answer,maybe
"hmm, either",maybe
i'm pretty sure it could be either,maybe
i have no clue,maybe
it might be either,maybe
i don't know anything about that,maybe
it's possible that it could be either,maybe
i don't have a clue,maybe
"it could be either, i think",maybe
i think it could be either one,maybe
i don't really know,maybe
i'm not sure of that,maybe
that's a possibility,maybe
how is the weather today,maybe
i haven't a clue,maybe
i haven't the foggiest,maybe
that answer's above my pay scale,maybe
